Origem,Midia,Receita
Google CPC,AD_S - Institucional - (exata),1427903
Google CPC,AD_S - Institucional - (ampla),179683.69
Google CPC,*AD_S - CZA - Panela Elétrica - Top,164696.93
Google CPC,AD_S - SHP - Todos os Produtos (Nova),164244.45
Google CPC,AD_S - Esporte - Top,82084.96
Google CPC,AD_S - DSA,53430.33
Google CPC,*AD_S - CZA - Fritadeiras Elétricas Marcas,30485.72
Google CPC,*AD_S - BLZ - Gen. - Escova Rotativa,22331.13
Google CPC,AD_S - BLZ - LGTAIL - Aparador Multigroom,13826.21
Google CPC,Outros,196889.85
Orgânico,Orgânico,1946372.6
Direto,Direto,1971071.53
Retargeting,Criteo,588317.59
Retargeting,Next Performance,0
Buscadores,Buscapé,45421.5
Buscadores,Busca Desconto,6952.27
Buscadores,Price Finder,89266.24
Email,Proxymedia,95809.55
Email,Responsys,370463.98
Midia,MSN,568.35
Midia,BOL,0
Midia,Outlook,0
Midia,Yahoo,308072.01
Midia,UOL,16402.43
Midia,IG,7984.41
Midia,Dotz,477.28
Midia,Globo,3040.13
Midia,Terra,2824.76
Midia,R7,0
Afiliados,Lomadee,246620.93
Afiliados,Net Affiliation,212213.38
Afiliados,City Ads,85245.93
Afiliados,Afilio,171429.66
Referência,Referência,583134.2